Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration,Year,num_downloads
"10 Duetten, Op.91","Abt, Franz","https://imslp.org/wiki/10_Duetten,_Op.91_(Abt,_Franz)","2 voices, piano",,romantic,,,romantic,,,2572
"10 Esquisses, Op.55","Juon, Paul","https://imslp.org/wiki/10_Esquisses,_Op.55_(Juon,_Paul)",piano,,romantic,,,romantic,,,1361
"10 Epigrammi, Op.21","Moscardi, Luca","https://imslp.org/wiki/10_Epigrammi,_Op.21_(Moscardi,_Luca)",piano,,modern,,2019-21,modern,23,2019,10
"10 Etudes, Op.15","Bortkiewicz, Sergei","https://imslp.org/wiki/10_Etudes,_Op.15_(Bortkiewicz,_Sergei)",piano,,early 20th century,,,early 20th century,,,7843
"10 Etudes, Op.12","Gutmann, Adolf","https://imslp.org/wiki/10_Etudes,_Op.12_(Gutmann,_Adolf)",piano,,romantic,,,romantic,,,843
10 Etüden für Oboe,"Mille, Karl","https://imslp.org/wiki/10_Etüden_für_Oboe_(Mille,_Karl)",oboe,,early 20th century,,,early 20th century,,,0
10 Fancy and Contra Dances,"Lauer, M.","https://imslp.org/wiki/10_Fancy_and_Contra_Dances_(Lauer,_M.)",orchestra (arranged),,romantic,,,romantic,,,33
"10 Exercices-études en doubles notes, Op.49","Philipp, Isidor","https://imslp.org/wiki/10_Exercices-études_en_doubles_notes,_Op.49_(Philipp,_Isidor)",piano,,early 20th century,,,romantic,,,1638
"10 Etüden, Op.50","Ruthardt, Adolf","https://imslp.org/wiki/10_Etüden,_Op.50_(Ruthardt,_Adolf)",piano,,romantic,,,romantic,,,378
10 Exercices mélodiques de vocalisation à deux voix,"Bussine, Romain","https://imslp.org/wiki/10_Exercices_mélodiques_de_vocalisation_à_deux_voix_(Bussine,_Romain)","2 voices (soprano and mezzo-soprano), piano",see below,romantic,,,romantic,,,38
"10 Fanfaren zu festlichen Anlässen, D.7714","Goller, Vinzenz","https://imslp.org/wiki/10_Fanfaren_zu_festlichen_Anlässen,_D.7714_(Goller,_Vinzenz)",4 horns,,early 20th century,,,romantic,8,,0
