Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration
2 Esquisses,"Gaubert, Philippe","https://imslp.org/wiki/2_Esquisses_(Gaubert,_Philippe)","flute, piano",,Early 20th century,,,Romantic,
2 Esquisses,"Inghelbrecht, Désiré Émile","https://imslp.org/wiki/2_Esquisses_(Inghelbrecht,_Désiré_Émile)",piano,,Early 20th century,,1903,Early 20th century,
2 Esquisses,"Kastner, Alfred","https://imslp.org/wiki/2_Esquisses_(Kastner,_Alfred)",harp,,Romantic,,,Romantic,
"2 Esquisses caractéristiques sur des thèmes de Bellini, Op.483","Czerny, Carl","https://imslp.org/wiki/2_Esquisses_caractéristiques_sur_des_thèmes_de_Bellini,_Op.483_(Czerny,_Carl)",piano,,Romantic,,,Romantic,
"2 Esquisses fantastiques, Op.33","Akimenko, Theodore","https://imslp.org/wiki/2_Esquisses_fantastiques,_Op.33_(Akimenko,_Theodore)",Piano,,Romantic,,,Romantic,
"2 Esquisses italiennes, Opp.33-34","Carreño, Teresa","https://imslp.org/wiki/2_Esquisses_italiennes,_Opp.33-34_(Carreño,_Teresa)",piano,,Romantic,,,Romantic,
"2 Esquisses, H.173","Honegger, Arthur","https://imslp.org/wiki/2_Esquisses,_H.173_(Honegger,_Arthur)",piano,,Early 20th century,,1943,Early 20th century,
"2 Esquisses, Op.3","Nechayev, Vasily","https://imslp.org/wiki/2_Esquisses,_Op.3_(Nechayev,_Vasily)",Piano,see below,Early 20th century,,1915,Early 20th century,
"2 Esquisses, Op.40","Glière, Reinhold","https://imslp.org/wiki/2_Esquisses,_Op.40_(Glière,_Reinhold)",Piano,,Romantic,,1909,Romantic,
"2 Esquisses, Op.44b","Akimenko, Theodore","https://imslp.org/wiki/2_Esquisses,_Op.44b_(Akimenko,_Theodore)",piano,,Early 20th century,,1910,Romantic,
"2 Esquisses, Op.6","Coster, Cornélius","https://imslp.org/wiki/2_Esquisses,_Op.6_(Coster,_Cornélius)",piano,see section listing,Romantic,,,Romantic,
"2 Estampes, Op.2","Lourié, Arthur","https://imslp.org/wiki/2_Estampes,_Op.2_(Lourié,_Arthur)",piano,,Romantic,,1910,Early 20th century,
2 Estudios,"Manjón, Antonio Jimenez","https://imslp.org/wiki/2_Estudios_(Manjón,_Antonio_Jimenez)",guitar,,Romantic,,,Romantic,
"2 Estudios en Do y S, Op.8","Fortea, Daniel","https://imslp.org/wiki/2_Estudios_en_Do_y_S,_Op.8_(Fortea,_Daniel)",guitar,,Early 20th century,,,Early 20th century,
2 Estudios faciles,"Morales, Justo Tomás","https://imslp.org/wiki/2_Estudios_faciles_(Morales,_Justo_Tomás)",guitar,,Early 20th century,,,Early 20th century,
2 Estudios in A minor,"Manjón, Antonio Jimenez","https://imslp.org/wiki/2_Estudios_in_A_minor_(Manjón,_Antonio_Jimenez)",guitar,,Romantic,,,Romantic,
"2 Estudios, Op.7","Fortea, Daniel","https://imslp.org/wiki/2_Estudios,_Op.7_(Fortea,_Daniel)",guitar,,Early 20th century,,,Early 20th century,
"2 Estudios, ligados y arpegios, Op.10","Fortea, Daniel","https://imslp.org/wiki/2_Estudios,_ligados_y_arpegios,_Op.10_(Fortea,_Daniel)",guitar,,Early 20th century,,,Early 20th century,
"2 Etude-Fantasies for Piano, Op.25","Blumenfeld, Felix","https://imslp.org/wiki/2_Etude-Fantasies_for_Piano,_Op.25_(Blumenfeld,_Felix)",piano,,Romantic,,,Romantic,
"2 Etuden, Op.12","Erdstein, Leon","https://imslp.org/wiki/2_Etuden,_Op.12_(Erdstein,_Leon)",piano,,Early 20th century,,,Early 20th century,
"2 Etuden, Op.12","Nicodé, Jean Louis","https://imslp.org/wiki/2_Etuden,_Op.12_(Nicodé,_Jean_Louis)",piano,see below,Romantic,,,Romantic,
2 Etuder,"Brink, Gustaf Hildor","https://imslp.org/wiki/2_Etuder_(Brink,_Gustaf_Hildor)",piano,,Romantic,,,Romantic,
2 Etudes,"Moody, Marie","https://imslp.org/wiki/2_Etudes_(Moody,_Marie)",piano,,Romantic,,,Romantic,
2 Etudes,"Morkov, Vladimir","https://imslp.org/wiki/2_Etudes_(Morkov,_Vladimir)",guitar,,Romantic,,,Romantic,
2 Etudes,"Nadaud, Édouard","https://imslp.org/wiki/2_Etudes_(Nadaud,_Édouard)",violin,,Early 20th century,,,Romantic,
2 Etudes,"Nenov, Dimitar","https://imslp.org/wiki/2_Etudes_(Nenov,_Dimitar)",piano,,Modern,,1931-32 ca.,Early 20th century,4 minutes
2 Etudes (No.2-3),"Sarenko, Vasily","https://imslp.org/wiki/2_Etudes_(No.2-3)_(Sarenko,_Vasily)",Guitar,1. B minor ; 2. G minor ; 3. D minor ; 4. C major,Romantic,,,Romantic,
2 Etudes,"Pachulski, Henryk","https://imslp.org/wiki/2_Etudes_(Pachulski,_Henryk)",piano,see below,Romantic,,,Romantic,
2 Etudes,"Ponce, Manuel","https://imslp.org/wiki/2_Etudes_(Ponce,_Manuel)",piano,,Early 20th century,,,Early 20th century,
2 Etudes,"Skrzydlewski, Jan","https://imslp.org/wiki/2_Etudes_(Skrzydlewski,_Jan)",piano,,Early 20th century,,,Early 20th century,
2 Etudes,"Tárrega, Francisco","https://imslp.org/wiki/2_Etudes_(Tárrega,_Francisco)",guitar,,Romantic,,,Romantic,
"2 Etudes de Concert, Op.15","Mills, Sebastian Bach","https://imslp.org/wiki/2_Etudes_de_Concert,_Op.15_(Mills,_Sebastian_Bach)",Pianoforte,,Romantic,,,Romantic,
"2 Etudes de Concert, Op.52","Netzel, Laura","https://imslp.org/wiki/2_Etudes_de_Concert,_Op.52_(Netzel,_Laura)",piano,,Romantic,,,Romantic,8 minutes
"2 Etudes de Concert, Op.6","Erdstein, Leon","https://imslp.org/wiki/2_Etudes_de_Concert,_Op.6_(Erdstein,_Leon)",piano,,Romantic,,,Early 20th century,
"2 Etudes de Salon, Op.6","Tinyakov, Aleksandr","https://imslp.org/wiki/2_Etudes_de_Salon,_Op.6_(Tinyakov,_Aleksandr)",piano,,Romantic,,,Early 20th century,
"2 Etudes de concert, Op.1b","Tausig, Carl","https://imslp.org/wiki/2_Etudes_de_concert,_Op.1b_(Tausig,_Carl)",piano,,Romantic,,,Romantic,
2 Etudes de difficulté transcendante,"Grovlez, Gabriel","https://imslp.org/wiki/2_Etudes_de_difficulté_transcendante_(Grovlez,_Gabriel)",piano,,Early 20th century,,"1916 August 29 (No.1), 1916 July 14 (No.2)",Early 20th century,
2 Etudes for 2 Violins,"Sydeman, William Jay","https://imslp.org/wiki/2_Etudes_for_2_Violins_(Sydeman,_William_Jay)",2 violins,,Modern,,1977 ca.,Modern,2 minutes
2 Etudes for Flute and Percussion,"Shavers, Bruce","https://imslp.org/wiki/2_Etudes_for_Flute_and_Percussion_(Shavers,_Bruce)",see below,,Modern,,1984,Modern,10
"2 Etudes for Piano Left Hand, Op.15","Hennessy, Swan","https://imslp.org/wiki/2_Etudes_for_Piano_Left_Hand,_Op.15_(Hennessy,_Swan)",piano,C minor,Romantic,,,Romantic,
"2 Etudes for Piano, Op.29","Blumenfeld, Felix","https://imslp.org/wiki/2_Etudes_for_Piano,_Op.29_(Blumenfeld,_Felix)",piano,,Romantic,,,Romantic,
2 Etudes of Bertini,"Morkov, Vladimir","https://imslp.org/wiki/2_Etudes_of_Bertini_(Morkov,_Vladimir)",guitar,,Romantic,,,Romantic,
"2 Etudes orientales, Op.1","Szántó, Tivadar","https://imslp.org/wiki/2_Etudes_orientales,_Op.1_(Szántó,_Tivadar)",piano,,Romantic,,,Romantic,
"2 Etudes, Op.1","Gouvy, Louis Théodore","https://imslp.org/wiki/2_Etudes,_Op.1_(Gouvy,_Louis_Théodore)",piano,,Romantic,,,Romantic,
"2 Etudes, Op.105","Moscheles, Ignaz","https://imslp.org/wiki/2_Etudes,_Op.105_(Moscheles,_Ignaz)",Piano,,Romantic,,,Romantic,
"2 Etudes, Op.151","Heller, Stephen","https://imslp.org/wiki/2_Etudes,_Op.151_(Heller,_Stephen)",piano,,Romantic,,,Romantic,
"2 Etudes, Op.17","Cleve, Halfdan","https://imslp.org/wiki/2_Etudes,_Op.17_(Cleve,_Halfdan)",piano,,Romantic,,,Early 20th century,
"2 Etudes, Op.18","Nevin, Ethelbert","https://imslp.org/wiki/2_Etudes,_Op.18_(Nevin,_Ethelbert)",piano,,Romantic,,1892,Romantic,
"2 Etudes, Op.2","Zybko, Desmond","https://imslp.org/wiki/2_Etudes,_Op.2_(Zybko,_Desmond)",piano,A minor,Classical,,2023,Modern,
"2 Etudes, Op.20","Reinhold, Hugo","https://imslp.org/wiki/2_Etudes,_Op.20_(Reinhold,_Hugo)",piano,"C major, A minor",Romantic,,,Romantic,
"2 Etudes, Op.29","Bennett, William Sterndale","https://imslp.org/wiki/2_Etudes,_Op.29_(Bennett,_William_Sterndale)",piano,,Romantic,,1841,Romantic,
"2 Etudes, Op.60","Kopylov, Aleksandr","https://imslp.org/wiki/2_Etudes,_Op.60_(Kopylov,_Aleksandr)",piano,"F major, A ♭ major",Romantic,,,Romantic,
"2 Etudes, Op.64","Scott, Cyril","https://imslp.org/wiki/2_Etudes,_Op.64_(Scott,_Cyril)",piano,,Romantic,,,Early 20th century,
"2 Etüden zum Conzertgebrauch, Op.24","Sitt, Hans","https://imslp.org/wiki/2_Etüden_zum_Conzertgebrauch,_Op.24_(Sitt,_Hans)","violin, piano",,Romantic,,,Romantic,
"2 Evénements, Op.12","Polovinkin, Leonid","https://imslp.org/wiki/2_Evénements,_Op.12_(Polovinkin,_Leonid)",piano,,Early 20th century,,,Early 20th century,
"2 Evénements, Op.5","Polovinkin, Leonid","https://imslp.org/wiki/2_Evénements,_Op.5_(Polovinkin,_Leonid)",piano,,Early 20th century,,1922,Early 20th century,
2 Exercises,"Field, John","https://imslp.org/wiki/2_Exercises_(Field,_John)",piano,,Romantic,,,Romantic,
2 Exercises,Jones-Stubbs,https://imslp.org/wiki/2_Exercises_(Jones-Stubbs),piano,,Modern,,2024-25,Modern,
2 Exotische Skizzen für Klavier,"Zadora, Michael","https://imslp.org/wiki/2_Exotische_Skizzen_für_Klavier_(Zadora,_Michael)",Piano,,Early 20th century,,,Early 20th century,
"2 Experimental Inventions, V.41","Vaitzman, Or","https://imslp.org/wiki/2_Experimental_Inventions,_V.41_(Vaitzman,_Or)",keyboard,,Baroque,,2019,Modern,
2 Expressionist Pieces for Solo Guitar,"Grayson, Martin","https://imslp.org/wiki/2_Expressionist_Pieces_for_Solo_Guitar_(Grayson,_Martin)",Guitar solo,,Modern,,1979,Modern,
2 Eyes,"Johnson, J. Rosamond","https://imslp.org/wiki/2_Eyes_(Johnson,_J._Rosamond)","voice, orchestra",C major,Early 20th century,,1903,Early 20th century,3 minutes
2 Eyes of Grey,"McGeoch, Daisy","https://imslp.org/wiki/2_Eyes_of_Grey_(McGeoch,_Daisy)","voice, piano",,Romantic,,,Early 20th century,
2 Fables de Jean de La Fontaine,"Delage, Maurice","https://imslp.org/wiki/2_Fables_de_Jean_de_La_Fontaine_(Delage,_Maurice)","voice Ensemble: flute, oboe, 2 clarinets, bassoon horn, trumpet, 2 violins, viola, cello, piano",,Modern,,1931,Early 20th century,6 minutes
2 Fables de La Fontaine,"Zoubaloff, Jacques","https://imslp.org/wiki/2_Fables_de_La_Fontaine_(Zoubaloff,_Jacques)","voice, piano",B-flat major,Early 20th century,,,Early 20th century,
"2 Faces of Janus, Op.14","Henderson-Sellers, Brian","https://imslp.org/wiki/2_Faces_of_Janus,_Op.14_(Henderson-Sellers,_Brian)",piano,E major,Modern,,1971-73,Modern,3 minutes
2 Fairy Pieces,"Dunhill, Thomas","https://imslp.org/wiki/2_Fairy_Pieces_(Dunhill,_Thomas)",piano,,Early 20th century,,,Romantic,
2 Fairy Tales,"Pouishnoff, Leff","https://imslp.org/wiki/2_Fairy_Tales_(Pouishnoff,_Leff)",piano,see below,Romantic,,,Romantic,
2 Fandangos,"Folk Songs, Brazilian","https://imslp.org/wiki/2_Fandangos_(Folk_Songs,_Brazilian)",treble instrument,,Traditional (folk),,,,
2 Fandangos da madrugada,"Folk Songs, Brazilian","https://imslp.org/wiki/2_Fandangos_da_madrugada_(Folk_Songs,_Brazilian)",voice,,Traditional (folk),,,,
2 Fanfares,"Ugoletti, Paolo","https://imslp.org/wiki/2_Fanfares_(Ugoletti,_Paolo)",3 trumpets,,Modern,,2025,Modern,5.30 minutes
2 Fantaisies Brillantes,"Näke, Wilhelm","https://imslp.org/wiki/2_Fantaisies_Brillantes_(Näke,_Wilhelm)",Piano,,Romantic,,,Romantic,
"2 Fantaisies brillantes, Op.94","Beyer, Ferdinand","https://imslp.org/wiki/2_Fantaisies_brillantes,_Op.94_(Beyer,_Ferdinand)",Piano,,Romantic,,,Romantic,
"2 Fantaisies et 1 rondo sur 'La fille du régiment', Op.110","Raoulx, Maurice de","https://imslp.org/wiki/2_Fantaisies_et_1_rondo_sur_'La_fille_du_régiment',_Op.110_(Raoulx,_Maurice_de)",guitar,,Romantic,,,Romantic,
2 Fantaisies faciles,"Drouet, Louis François Philippe","https://imslp.org/wiki/2_Fantaisies_faciles_(Drouet,_Louis_François_Philippe)","flute, piano",G major,Classical,,1821,Romantic,
2 Fantaisies faciles,"Périer, Émile","https://imslp.org/wiki/2_Fantaisies_faciles_(Périer,_Émile)","violin, piano",,Romantic,,,Romantic,
"2 Fantaisies faciles sur 'Joconde', Op.445","Battmann, Jacques-Louis","https://imslp.org/wiki/2_Fantaisies_faciles_sur_'Joconde',_Op.445_(Battmann,_Jacques-Louis)",piano,C major,Romantic,,,Romantic,
"2 Fantaisies mignonnes sur des motifs de 'Belisario' de Donizetti, Op.147","Duvernoy, Jean-Baptiste","https://imslp.org/wiki/2_Fantaisies_mignonnes_sur_des_motifs_de_'Belisario'_de_Donizetti,_Op.147_(Duvernoy,_Jean-Baptiste)",Piano,,Romantic,,,Romantic,
"2 Fantaisies sur 'Czar et charpentier', Op.86","Battmann, Jacques-Louis","https://imslp.org/wiki/2_Fantaisies_sur_'Czar_et_charpentier',_Op.86_(Battmann,_Jacques-Louis)",piano,see section listing,Romantic,,,Romantic,
2 Fantaisies sur 'Esclarmonde' de Massenet,"Brémond, François","https://imslp.org/wiki/2_Fantaisies_sur_'Esclarmonde'_de_Massenet_(Brémond,_François)","horn, piano",,Romantic,,,Romantic,
2 Fantaisies sur 'Faust',"Tavan, Émile","https://imslp.org/wiki/2_Fantaisies_sur_'Faust'_(Tavan,_Émile)",piano,1. A minor 2. B ♭ major,Romantic,,,Romantic,
"2 Fantaisies sur des chansons populaires Russes, Op.2","Rubinstein, Anton","https://imslp.org/wiki/2_Fantaisies_sur_des_chansons_populaires_Russes,_Op.2_(Rubinstein,_Anton)",1 piano,,Romantic,,1850,Romantic,
"2 Fantaisies sur des thèmes russes, Op.111","Bériot, Charles-Auguste de","https://imslp.org/wiki/2_Fantaisies_sur_des_thèmes_russes,_Op.111_(Bériot,_Charles-Auguste_de)","violin, piano",,Romantic,,,Romantic,
"2 Fantaisies élégantes sur les motifs favoris de 'La prison d'Edimbourg', Op.382","Czerny, Carl","https://imslp.org/wiki/2_Fantaisies_élégantes_sur_les_motifs_favoris_de_'La_prison_d'Edimbourg',_Op.382_(Czerny,_Carl)",piano,,Romantic,,1835,Romantic,
"2 Fantaisies, Op.1","Burian, F.","https://imslp.org/wiki/2_Fantaisies,_Op.1_(Burian,_F.)",harp,,Romantic,,,Romantic,
"2 Fantaisies, Op.61","Tillmetz, Rudolf","https://imslp.org/wiki/2_Fantaisies,_Op.61_(Tillmetz,_Rudolf)","flute, piano",,Early 20th century,,,Romantic,
"2 Fantaisies, Op.9","Benoit, Peter","https://imslp.org/wiki/2_Fantaisies,_Op.9_(Benoit,_Peter)",piano,,Romantic,,,Romantic,
"2 Fantaisies-transcriptions sur 'Geneviève de Brabant', Op.79","Neustedt, Charles","https://imslp.org/wiki/2_Fantaisies-transcriptions_sur_'Geneviève_de_Brabant',_Op.79_(Neustedt,_Charles)",Piano solo,G major,Romantic,,,Romantic,
"2 Fantasia Pieces for Violin and Bassoon, SN.218a","Ng, Sissel","https://imslp.org/wiki/2_Fantasia_Pieces_for_Violin_and_Bassoon,_SN.218a_(Ng,_Sissel)",violin (No.1); bassoon (No.2),,Romantic,,2024/05/31-10/31,Modern,
2 Fantasias,"Dhanrajani, Anish","https://imslp.org/wiki/2_Fantasias_(Dhanrajani,_Anish)",piano,,Modern,,2018-19,Modern,23 minutes
"2 Fantasias for Solo Clarinet, Op.76","Plante, Cyril","https://imslp.org/wiki/2_Fantasias_for_Solo_Clarinet,_Op.76_(Plante,_Cyril)",clarinet,,Modern,,"2002 (15, 6 November)",Modern,2 minutes (1 minute each)
2 Fantasias for Violin solo,"Matteis Jr., Nicola","https://imslp.org/wiki/2_Fantasias_for_Violin_solo_(Matteis_Jr.,_Nicola)",violin,,Baroque,,1720 or before,Baroque,
2 Fantasias for Viols,Josquin Desprez,https://imslp.org/wiki/2_Fantasias_for_Viols_(Josquin_Desprez),,,Renaissance,,,Renaissance,
2 Fantasias from 'Don Giovanni',"Loder, Edward James","https://imslp.org/wiki/2_Fantasias_from_'Don_Giovanni'_(Loder,_Edward_James)",Piano,,Romantic,,,Romantic,
2 Fantasias in F major,"Phalèse, Pierre","https://imslp.org/wiki/2_Fantasias_in_F_major_(Phalèse,_Pierre)","4 instruments, open instrumentation",F major,Renaissance,,,Renaissance,
2 Fantasias on 'Christ the Lord is Risen Today',"Kowalewski, Jakub","https://imslp.org/wiki/2_Fantasias_on_'Christ_the_Lord_is_Risen_Today'_(Kowalewski,_Jakub)",Organ,,Modern,,,Modern,
2 Fantasias on Themes from 'La Rose de Castille',"Osborne, George Alexander","https://imslp.org/wiki/2_Fantasias_on_Themes_from_'La_Rose_de_Castille'_(Osborne,_George_Alexander)",piano,,Romantic,,,Romantic,
"2 Fantasias, Op.133","Ries, Ferdinand","https://imslp.org/wiki/2_Fantasias,_Op.133_(Ries,_Ferdinand)","flute ( ad lib. in No.1, obbligato in No.2), piano",,Romantic,,"1823–1824, London",Romantic,
"2 Fantasias, Op.134","Ries, Ferdinand","https://imslp.org/wiki/2_Fantasias,_Op.134_(Ries,_Ferdinand)",piano,E-flat major (No.1); G minor (No.2),Romantic,,1824,Romantic,
"2 Fantasias, Op.2","Cianchettini, Pio","https://imslp.org/wiki/2_Fantasias,_Op.2_(Cianchettini,_Pio)",piano,,Romantic,,,Romantic,
2 Fantasie Chorals,"Whitlock, Percy William","https://imslp.org/wiki/2_Fantasie_Chorals_(Whitlock,_Percy_William)",organ,,Early 20th century,,,Early 20th century,
"2 Fantasie per Pianoforte sull' Opera 'La Traviata' di G.Verdi, Op.51","Meglio, Vincenzo de","https://imslp.org/wiki/2_Fantasie_per_Pianoforte_sull'_Opera_'La_Traviata'_di_G.Verdi,_Op.51_(Meglio,_Vincenzo_de)",piano,E-flat major,Romantic,,1854-64 ca.,Romantic,
2 Fantasien in brillantem Stil,"Singer II, Otto","https://imslp.org/wiki/2_Fantasien_in_brillantem_Stil_(Singer_II,_Otto)","violin, piano",,Romantic,,,Romantic,
"2 Fantasies on Themes from 'Le Nozze di Figaro', Op.77","Ries, Ferdinand","https://imslp.org/wiki/2_Fantasies_on_Themes_from_'Le_Nozze_di_Figaro',_Op.77_(Ries,_Ferdinand)",piano,,Romantic,,"1807, Paris (No.1); 1817, London (No.2)",Romantic,
"2 Fantasies with Fugues, Op.19","Geyer, Flodoard","https://imslp.org/wiki/2_Fantasies_with_Fugues,_Op.19_(Geyer,_Flodoard)",organ,,Romantic,,,Romantic,
"2 Fantasies, Op.13","Molino, Francesco","https://imslp.org/wiki/2_Fantasies,_Op.13_(Molino,_Francesco)",guitar,,Romantic,,,Romantic,
"2 Fantasiestücke in Walzerform, Op.3","Draeseke, Felix","https://imslp.org/wiki/2_Fantasiestücke_in_Walzerform,_Op.3_(Draeseke,_Felix)",piano,,Romantic,,1862,Romantic,10 minutes
"2 Fantasiestücke, Op.102","Spindler, Fritz","https://imslp.org/wiki/2_Fantasiestücke,_Op.102_(Spindler,_Fritz)",piano,,Romantic,,,Romantic,
"2 Fantasiestücke, Op.17","MacDowell, Edward","https://imslp.org/wiki/2_Fantasiestücke,_Op.17_(MacDowell,_Edward)",piano,,Romantic,,1883,Romantic,
"2 Fantasiestücke, Op.27","Sjögren, Emil","https://imslp.org/wiki/2_Fantasiestücke,_Op.27_(Sjögren,_Emil)","violin, piano",,Romantic,,1885,Romantic,13 minutes
"2 Fantasiestücke, Op.27","Stein, Richard Heinrich","https://imslp.org/wiki/2_Fantasiestücke,_Op.27_(Stein,_Richard_Heinrich)","Viola, piano",,Romantic,,,Early 20th century,
"2 Fantasiestücke, Op.319","Ziehrer, Karl Michael","https://imslp.org/wiki/2_Fantasiestücke,_Op.319_(Ziehrer,_Karl_Michael)",orchestra,,Romantic,,,Romantic,5 minutes
"2 Fantasiestücke, Op.4","Neruda, Franz","https://imslp.org/wiki/2_Fantasiestücke,_Op.4_(Neruda,_Franz)","Cello, piano",,Romantic,,,Romantic,
"2 Fantasiestücke, Op.57","Neupert, Edmund","https://imslp.org/wiki/2_Fantasiestücke,_Op.57_(Neupert,_Edmund)",Piano,,Romantic,,,Romantic,
"2 Fantasiestücke, Op.58","Raff, Joachim","https://imslp.org/wiki/2_Fantasiestücke,_Op.58_(Raff,_Joachim)","violin, piano",see below,Romantic,,1850-52,Romantic,15 minutes
"2 Fantasiestücke, Op.86","Raff, Joachim","https://imslp.org/wiki/2_Fantasiestücke,_Op.86_(Raff,_Joachim)","cello, piano",,Romantic,,1854,Romantic,
"2 Fantastiske Etuder, Op.4","Schierbeck, Poul","https://imslp.org/wiki/2_Fantastiske_Etuder,_Op.4_(Schierbeck,_Poul)",piano,,Early 20th century,,,Early 20th century,
2 Fantasy Pieces,"Heise, Peter","https://imslp.org/wiki/2_Fantasy_Pieces_(Heise,_Peter)","cello (or horn in No. 2), piano",,Romantic,,,Romantic,
"2 Fantasy Pieces, CYH 072","Chen, Yihan","https://imslp.org/wiki/2_Fantasy_Pieces,_CYH_072_(Chen,_Yihan)",Piano solo,,Modern,,2009,Modern,
2 Favorite Airs adapted for Harp and Piano,"Dussek, Sophia","https://imslp.org/wiki/2_Favorite_Airs_adapted_for_Harp_and_Piano_(Dussek,_Sophia)","harp, piano",,Classical,,,Classical,
2 Favorite Waltzes,"Timm, Henry Christian","https://imslp.org/wiki/2_Favorite_Waltzes_(Timm,_Henry_Christian)",Piano,,Romantic,,,Romantic,
2 Favoritstücke aus der Oper 'Don Pasquale',"Pötzsch, Wilhelm","https://imslp.org/wiki/2_Favoritstücke_aus_der_Oper_'Don_Pasquale'_(Pötzsch,_Wilhelm)","Orchestra : flute, 2 clarinets + 2 horns, 2 trumpets, 3 trombones + timpani, bass drum, tambourine + strings",,Romantic,,,Romantic,
2 Favoritstücke aus der Oper 'Figaro',"Pötzsch, Wilhelm","https://imslp.org/wiki/2_Favoritstücke_aus_der_Oper_'Figaro'_(Pötzsch,_Wilhelm)","Orchestra : 2 flutes, oboe ( ad lib. ), 2 clarinets, bassoon ( ad lib. ) + 2 horns, 2 trumpets, bass trombone ( ad lib. ) + timpani + strings",,Romantic,,,Romantic,
"2 Fest-Märsche, Op.227","Kalliwoda, Johann Wenzel","https://imslp.org/wiki/2_Fest-Märsche,_Op.227_(Kalliwoda,_Johann_Wenzel)",piano 4-hands,see below,Romantic,,1858?,Romantic,
2 Feuilles d'Album,"Stiehl, Heinrich","https://imslp.org/wiki/2_Feuilles_d'Album_(Stiehl,_Heinrich)",piano,,Romantic,,,Romantic,
"2 Feuilles d'Album, Op.32","Statkowski, Roman","https://imslp.org/wiki/2_Feuilles_d'Album,_Op.32_(Statkowski,_Roman)","violin, piano",,Romantic,,,Romantic,
2 Feuilles d'album,"Kopylov, Aleksandr","https://imslp.org/wiki/2_Feuilles_d'album_(Kopylov,_Aleksandr)",piano,,Romantic,,,Romantic,
2 Feuillets d'Album,"Bernard, Émile","https://imslp.org/wiki/2_Feuillets_d'Album_(Bernard,_Émile)",piano,,Romantic,,,Romantic,
2 Film Studies,"Castelnuovo-Tedesco, Mario","https://imslp.org/wiki/2_Film_Studies_(Castelnuovo-Tedesco,_Mario)",piano,,Early 20th century,,1931,Early 20th century,
2 Flemish Dances,"Ostijn, Willy","https://imslp.org/wiki/2_Flemish_Dances_(Ostijn,_Willy)",orchestra,,Classical,,1951,Modern,6 minutes
"2 Fleurs, Op.63","Briccialdi, Giulio","https://imslp.org/wiki/2_Fleurs,_Op.63_(Briccialdi,_Giulio)","flute, piano",,Romantic,,,Romantic,
2 Flute Concerti,"Scheibe, Johann Adolph","https://imslp.org/wiki/2_Flute_Concerti_(Scheibe,_Johann_Adolph)","flute, strings, continuo",,Classical,,,Baroque,
"2 Flute Concerti, Op.37","Cambini, Giuseppe Maria","https://imslp.org/wiki/2_Flute_Concerti,_Op.37_(Cambini,_Giuseppe_Maria)","Flute Solo; Violin 1 & 2, Viola, Cello (Basso), Oboe 1 & 2, Horn 1 & 2",,Classical,,,Classical,
2 Flute Duets,"Bodinus, Sebastian","https://imslp.org/wiki/2_Flute_Duets_(Bodinus,_Sebastian)",2 flutes,see below,Baroque,,,Baroque,
2 Flute Quartets,"Devienne, François","https://imslp.org/wiki/2_Flute_Quartets_(Devienne,_François)","flute, violin, viola, cello",see below,Classical,,,Classical,
2 Flute Quartets,"Wranitzky, Paul","https://imslp.org/wiki/2_Flute_Quartets_(Wranitzky,_Paul)","flute, violin, viola, cello",,Classical,,,Classical,
"2 Flute Quartets, BI 418, 415","Rolla, Alessandro","https://imslp.org/wiki/2_Flute_Quartets,_BI_418,_415_(Rolla,_Alessandro)","flute, violin, viola, cello",,Classical,,,Classical,
"2 Flute Quartets, Op.10","Fränzl, Ferdinand","https://imslp.org/wiki/2_Flute_Quartets,_Op.10_(Fränzl,_Ferdinand)","flute, violin, viola, cello",,Classical,,,Classical,
"2 Flute Quartets, Op.27","Soussmann, Heinrich","https://imslp.org/wiki/2_Flute_Quartets,_Op.27_(Soussmann,_Heinrich)",4 flutes,,Classical,,,Romantic,
2 Flute Quintets,"Romberg, Andreas","https://imslp.org/wiki/2_Flute_Quintets_(Romberg,_Andreas)","flute, violin, 2 violas, cello",,Classical,,,Classical,
2 Flute Sonatas,"Wendling, Johann Baptist","https://imslp.org/wiki/2_Flute_Sonatas_(Wendling,_Johann_Baptist)","flute, cello (unfigured continuo)",see below,Classical,,1762 or before,Classical,
"2 Flute Sonatas, HWV 374-375","Handel, George Frideric","https://imslp.org/wiki/2_Flute_Sonatas,_HWV_374-375_(Handel,_George_Frideric)","flute, continuo",,Baroque,,,Baroque,
"2 Flute Sonatas, Op.3","Zulehner, Carl","https://imslp.org/wiki/2_Flute_Sonatas,_Op.3_(Zulehner,_Carl)","flute (or violin), piano",F major,Classical,,,Classical,
"2 Flute Sonatas, Op.76","Ries, Ferdinand","https://imslp.org/wiki/2_Flute_Sonatas,_Op.76_(Ries,_Ferdinand)","piano, flute ad.lib.",see below,Romantic,,"1817, 1816 1817, London (No.2) 1816, London (No.1)",Romantic,
2 Folia Pastoral,"St. Pierre, Anthony","https://imslp.org/wiki/2_Folia_Pastoral_(St._Pierre,_Anthony)","flute, oboe, clarinet, bassoon",,Modern,,2019,Modern,3 minutes
2 Folk Songs,"Chadwick, George Whitefield","https://imslp.org/wiki/2_Folk_Songs_(Chadwick,_George_Whitefield)","Voice, piano",,Romantic,,,Romantic,
"2 Folkesange, Op.21 No.2","Rung, Frederik","https://imslp.org/wiki/2_Folkesange,_Op.21_No.2_(Rung,_Frederik)","voice, piano",,Romantic,,,Romantic,
